,possibly_sensitive,id,author_id,source,created_at,text,edit_history_tweet_ids,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,withheld.copyright,withheld.country_codes
0,False,1586291536546779136,1586147134637735936,Twitter Web App,2022-10-29T09:39:08.000Z,"Depression, like other illnesses, is chronic, and like cancer, we can be in remission and relapse.Don't let relapse creep up on you. We are here to help and support you!
#spravato #wellness #cbttherapy #psychiatry #mentalhealth #depression #ketamineclinic  #depressionhelp https://t.co/lvKcLJtwdA",['1586291536546779136'],en,0,0,0,0,,
1,False,1586291387418710016,4008120614,Twitter Web App,2022-10-29T09:38:33.000Z,I'm not supposed to be anything but wanting to die. I don't know what I was thinking. #Suicide #Depression,['1586291387418710016'],en,0,0,0,0,,
2,False,1586290826543599616,1492873110881722369,Twitter Web App,2022-10-29T09:36:19.000Z,RT @trashpige0ns: @Author_VanessaF No one should feel guilty about a suicide attempt. No one should feel guilty about someone from their im…,['1586290826543599616'],en,0,0,0,0,,
3,False,1586290448091402241,1160029078583463936,"Cheap Bots, Done Quick!",2022-10-29T09:34:49.000Z,this is how to show a loved one you care: Have you talked to anyone about how you feel? #mentalhealth #depression,['1586290448091402241'],en,0,0,0,0,,
4,False,1586290445646176258,2258681563,Twitter for iPhone,2022-10-29T09:34:48.000Z,"RT @NormanSpivak: 2 / 
In this work, we discuss how disruptions to the microbiome can lead to #anxiety, #depression, #OCD, and even #PANS /…",['1586290445646176258'],en,2,0,0,0,,
5,False,1586289253016899584,1560865290170540032,Publer.io,2022-10-29T09:30:04.000Z,"Oops 😬

#con10tlabs #con10t #con10tmemes #angerissues #angermanagement #anger #anxiety #angerproblems #depression #mentalhealth #angerquotes #stress #mentalhealthawareness #emotions #mentalhealthmatters #angers #angry #lowselfesteem #mentalillness #therapy #selfcare #selflove https://t.co/Ef6RQLgEwN",['1586289253016899584'],en,0,0,0,0,,
6,False,1586289131981864960,1048695974498127873,Twitter for iPhone,2022-10-29T09:29:35.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/P8k3PYy1Bi",['1586289131981864960'],en,0,0,0,0,,
7,False,1586289075392335872,1048695974498127873,Twitter for iPhone,2022-10-29T09:29:22.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/Xa8cuPfN0Z",['1586289075392335872'],en,0,0,0,0,,
8,False,1586289030555389952,1048695974498127873,Twitter for iPhone,2022-10-29T09:29:11.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/4p4YamNC37",['1586289030555389952'],en,0,0,0,0,,
9,False,1586288988037734400,1048695974498127873,Twitter for iPhone,2022-10-29T09:29:01.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/x30ArJTiPT",['1586288988037734400'],en,0,0,0,0,,
10,False,1586288950703902720,848298180,Twitter for Android,2022-10-29T09:28:52.000Z,"RT @NayvethVizcaya: Surrounded by people, yet all alone trapped within the walls of your soul. 
A forced smile, like everyday and every nig…",['1586288950703902720'],en,1687,0,0,0,,
11,False,1586288945083478017,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:50.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/HA6UmulXqw",['1586288945083478017'],en,0,0,0,0,,
12,False,1586288905376395264,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:41.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/YgkfOWQlkf",['1586288905376395264'],en,0,0,0,0,,
13,False,1586288855975571457,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:29.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/Y25sThvF0e",['1586288855975571457'],en,0,0,0,0,,
14,False,1586288819795505152,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:21.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/zRo4oatOI1",['1586288819795505152'],en,0,0,0,0,,
15,False,1586288780423876608,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:11.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/NlmNh4SQxI",['1586288780423876608'],en,0,0,0,0,,
16,False,1586288734957277184,1048695974498127873,Twitter for iPhone,2022-10-29T09:28:00.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/faR9K8NVNG",['1586288734957277184'],en,0,0,0,0,,
17,False,1586288692271800320,1048695974498127873,Twitter for iPhone,2022-10-29T09:27:50.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #believe https://t.co/OB3Cy74kNY",['1586288692271800320'],en,0,0,0,0,,
18,False,1586288658092539906,1048695974498127873,Twitter for iPhone,2022-10-29T09:27:42.000Z,"Be kind to your mind🌱

💚 we hope to see you soon and often  @iamlknetwork🔆

#beautifulmind #calm #innerStrength #plantbased #depression #NeverGiveUp #Motivation #grateful #faith #PositiveVibes #magic  #trust  #love #courage  #AllLivesMatter #BELIEVE https://t.co/92xa5hfULA",['1586288658092539906'],en,0,0,0,0,,
19,False,1586288101894549504,986181390,Twitter for Android,2022-10-29T09:25:29.000Z,"RT @citizensoldiero: “All war and no surrender” ⛅️ Presave now! 👉 https://t.co/yaeTqsPQEW
.
.
.
#CitizenSoldierBand #FightTheGoodFight #New…",['1586288101894549504'],en,30,0,0,0,,
20,False,1586288039957086209,1362859431202086914,Twitter for iPhone,2022-10-29T09:25:15.000Z,#mentalhealth #mentalhealthawareness #selfcare #selflove #anxiety #love  #depression #motivation #health #wellness #mindfulness #healing #fitness #life #loveyourself #therapy #inspiration #happiness #mindset #positivity  #mentalillness #psychology #wellbeing #recovery https://t.co/cztWSEmA0l,['1586288039957086209'],qht,0,0,0,0,,
21,False,1586287920021135360,1584979860530888713,Twitter for iPhone,2022-10-29T09:24:46.000Z,"Golden teachers microdosed shroom capsules 400mg 
#shrooms #psychedeicsuk #uk #london #nft #mentalhealth #mothernature #traditionalmedicine #shroomcapsules #nft #depression #anxiety #ptsd #love #trans #recreationalexperience #javascript click for menu... https://t.co/HMGrxPYgFZ https://t.co/x1kxRQU7rs",['1586287920021135360'],en,0,0,3,0,,
22,False,1586287735341711360,1456228393234493446,Twitter Web App,2022-10-29T09:24:02.000Z,"#partygate
#RepublicNow
#livelihood
#railstrikes
#barristerstrike
#royalmail
#nurse
#btstrike
#indyref2
#recession
#Depression
#CostOfLivingCrisis
#ScottishIndependence
#StickUp4Scotland
#indywales
#privatisingNHS
#EndAllMandates
#Agenda2030 
#portstrike https://t.co/pPdXfVoGqg",['1586287735341711360'],qht,0,0,0,0,,
23,False,1586287283338375168,982982961883566080,Twitter Web App,2022-10-29T09:22:14.000Z,RT @Dinesh_Kumar78: https://t.co/HUQcfe9pyO @ShvetankbhattB @DrNirajKumarJh1 @gauravpharma25 @Dinesh_Kumar78 @SachinK00306908 @Kam_Dua #Dua…,['1586287283338375168'],qme,15,0,0,0,,
24,False,1586286609833791488,3098116948,Twitter for Android,2022-10-29T09:19:34.000Z,RT @DrBelynderWalia: You can't always lift people with your positive attitude. But what you can do is listen understand and be empathetic b…,['1586286609833791488'],en,1,0,0,0,,
25,False,1586286582008455168,824375775726026752,Twitter for Android,2022-10-29T09:19:27.000Z,"You can't always lift people with your positive attitude. But what you can do is listen understand and be empathetic because that's what they need more than anything else.
Be authentic, be compassionate, be you. #serenelifestyles #belynderwalia #depression #positive #vibes https://t.co/C5ikxNQmnt",['1586286582008455168'],en,1,0,1,0,,
26,False,1586286531496611841,1258132571461947399,Twitter for Android,2022-10-29T09:19:15.000Z,"Current mood - 3. Waiting on the htt call to arrange a visit and give sleep meds. Oh gone out. Kids on tablets and I'm able to enjoy sraring at the wall in peace. Today seems a good day so far. 
#MentalHealth #depression",['1586286531496611841'],en,0,0,0,0,,
27,False,1586286452987396098,1205126277876854784,Twitter for Android,2022-10-29T09:18:56.000Z,"DEADHEAD CHEMIST 🧪🧪
DMT #vape available online for purchase. Unlock your #Ego 
#5MeoDMT #trip #anxietyrelief #anxiety #Depression #mentaldisorder 
#MentalHealthMatters #EGOEIST #ChemTwitter https://t.co/qCt0IX0ReJ",['1586286452987396098'],en,0,0,0,0,,
28,False,1586285803399188482,1456228393234493446,Twitter Web App,2022-10-29T09:16:21.000Z,"#EnergyCrisis
#energy
#Germany
#inflation 
#CzechRepublic 
#Netherlands 
#FarmersProtest 
#freedomrally
#EnoughIsEnough
#inflation
#Depression
#CostOfLivingCrisis
#SupplyChains
#food
#vaccineinjuries
#Jobs
#NWO
#WinterIsComing
#WEFMustGo
#GreatReset
#Agenda2030 https://t.co/BEXVQtw4Lf",['1586285803399188482'],qht,0,0,0,0,,
